ID,Bearbeiter 1,Bearbeiter 2,Title,Authors,DOI,Jahr,Track,Keywords,Research question,Goal of the paper,Motivation of the Paper,Outcome of the Paper,Type of inquiry 1,Type of inquiry 2,Type of Theory,Emphasis,Formal concepts,Algorithms,Hypothesis,Independent Variables,Dependent Variables,Type of Artefact 1,Research Method 1,Research Method 2,Research Method 3,Research Method 4,Type of data,Total participants count,Students Count,Practitioners Count,Data accessibility,Data Metadata,Material accessibility,Evaluation Method 1,Evaluation Method 2,Evaluation Method 3,Evaluation Method 4,Threats to Validity 1,Threats to Validity 2,Threats to Validity 3,Threats to Validity 4,Existence,Availability,Type of Artefact 2,Research Method 1.1,Research Method 2.1,Research Method 3.1,Research Method 4.1,Type of data.1,Total participants count.1,Students Count.1,Practitioners Count.1,Data format,Data accessibility.1,Data Metadata.1,Material accessibility.1,Data License.1,Evaluation Method 1.1,Evaluation Method 2.1,Evaluation Method 3.1,Evaluation Method 4.1,Threats to Validity 1.1,Threats to Validity 2.1,Threats to Validity 3.1,Threats to Validity 4.1,Existence.1,Availability.1,Comments
74.0,YZ,MH,"Petri Nets with Parameterised Data
Modelling and Verification","Silvio Ghilardi, Alessandro Gianola, Marco Montali, Andrey Rivkin",https://doi.org/10.1007/978-3-030-58666-9_4,2020.0,Foundations,not existing,not existing,"In this work, we introduce and study an extension of coloured Petri nets, called catalog-nets, providing two key features to capture this type of processes.","During the last decade, various approaches have been put forward to integrate business processes with different types of data. [...] One particularly important point is the capability of these approaches to flexibly accommodate processes with multiple cases that need to co-evolve.","We have brought forward an integrated model of processes and data founded on CPN that balances between modeling power and the possibility of carrying sophisticated forms of verification parameterized on read-only, immutable relational data.",Formal science,,Formal theory,Theory,Yes,No,No,,,Technique,Formal Proof,Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,Benchmark,,,None,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,YZ,MH,Socially-Aware Business Process Redesign,"Arik Senderovich, Joop J. Schippers, Hajo A. Reijers",https://doi.org/10.1007/978-3-030-58666-9_5,2020.0,Foundations,not existing,"But how can automation be balanced with the social objectives of providing meaning-
ful jobs to society and job security to employees?",We aim to develop a decision support tool to facilitate SBPR by formulating it as a constrained optimization problem (COP). [...] The objective is to maximize efficiency while adhering to a predefined social budget.,"While the management of a process-centered organization will know its processes, the activities that those processes are composed of, and the skills that are required to execute those activities, it lacks the tools to decide on how to redesign its processes while balancing productivity and social objectives.","This work is the first attempt to methodologically include socially responsible practices into the redesign of business processes. Specifically, we provided three main motivations for socially-aware redesign, namely automation, training, and inclusion.",Formal science,Information systems engineering,Both,Theory,Yes,No,"Yes, assumption",,,Model,Formal Proof,Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Synthetic data,0,0.0,0,,No,,"Yes, in the paper",,Technical Experiment,,,,None,,,,Yes,Yes,
76.0,MH,MS,Incentive Alignment of Business Processes,"Tobias Heindel,Ingo Weber",https://doi.org/10.1007/978-3-030-58666-9_6,2020.0,Foundations,"Inter-organizational business processes, Incentive
alignment, Collaboration, Choreography",not existing,"In this paper, we present a framework for incentive alignment of inter-
organizational business processes based on game theory.","Nevertheless, the focus of formal methods research on business processes lies on the correctness of the execution semantics of models w.r.t. properties like deadlock freedom, liveness, or completion guarantees. However, the question of whether participants are interested in working towards completion—or in participating in the process at all—has not been addressed as of yet.","The overall contribution of the paper is a framework for incentive alignmentof business process models, particularly in inter-organizational settings.",Formal science,,Both,Theory,Yes,No,"Yes, assumption",,,Framework,Formal Proof,Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,"Yes, in the paper",Verification,,,,None,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,MH,YZ,"PRIPEL: Privacy-Preserving Event Log
Publishing Including Contextual
Information","Stephan A. Fahrenkrog-Petersen, Han van der Aa2, Matthias Weidlich",https://doi.org/10.1007/978-3-030-58666-9_7,2020.0,Foundations,"Process mining, Privacy-preserving data publishing, Privacy-preserving data mining",not existing,"To bridge this gap, we introduce PRIPEL, a framework for privacy-aware event log publishing. Compared to existing work, PRIPEL takes a fundamentally different angle and ensures privacy on the level of individual cases instead of the complete log.","However, aggregations of contextual information in the spirit of k-anonymity [...] lead to a loss of the long tail process behaviour, i.e., infrequent traces of cases that are uncommon and, hence, of particular importance for any analysis.","In this paper, we introduced PRIPEL, a framework to publish anonymised event logs that [...] ensures differential privacy on the basis of individual
cases.",Information systems engineering,,Formal theory,Both,Yes,Yes,No,,,Framework,Design (Science/Engineering),,,,Real-world data,,,,"Yes, via reference",,"Yes, in the paper",Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,0,0.0,0,,"Yes, via reference",,"Yes, in the paper",,Case Study,,,,None,,,,Yes,Yes,
78.0,MH,YZ,"A Framework for Estimating Simplicity
of Automatically Discovered Process
Models Based on Structural and
Behavioral Characteristics","Anna Kalenkova, Artem Polyvyanyy, Marcello La Rosa",https://doi.org/10.1007/978-3-030-58666-9_8,2020.0,Foundations,not existing,not existing,"In this paper, we present a conceptual framework that can be instantiated into a concrete approach for estimating the simplicity of a model, considering the behavior the model describes, thus allowing a more holistic analysis.","Various measures for assessing whether a discovered model is simple have been proposed, such as the number of nodes and arcs, density, and diameter. However, these measures address the number of constructs, i.e., the structure of the discovered models, while ignoring what these constructs describe, i.e., the process behavior.",This paper presents a framework that can be configured to result in a concrete approach for measuring the simplicity of process models discovered from event logs.,Formal science,,Formal theory,Theory,Yes,No,"Yes, propositions",,,Framework,Design (Science/Engineering),Illustrative Example,,,Both,,,,"Yes, via reference",,"Yes, in the paper",Case Study,,,,None,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,MH,YZ,"Online Process Monitoring Using
Incremental State-Space Expansion:
An Exact Algorithm","Daniel Schuster, Sebastiaan J. van Zelst",https://doi.org/10.1007/978-3-030-58666-9_9,2020.0,Foundations,"Process mining, Conformance checking, Alignments, Event streams, Incremental heuristic search",not existing,"In this paper, we present an exact, parameter-free, online conformance checking algorithm that computes conformance checking results on the fly. ","The advantages of monitoring a process’ conformity during its execution are clear, i.e., deviations are detected as soon as they occur and countermeasures can immediately be initiated to reduce the possible negative effects caused by process deviations. Existing work in online conformance checking only allows for obtaining approximations of non-conformity, e.g., overestimating the actual severity of the deviation.","In this paper, we proposed a novel, parameter-free algorithm to efficiently moni- tor ongoing processes in an online setting by computing a prefix-alignment once a new event occurs.",Information systems engineering,Formal science,Formal theory,Artefact,Yes,Yes,No,not existing,not existing,Algorithm,Formal Proof,Design (Science/Engineering),,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,0,0.0,0,,"Yes, in the paper",,No,,Benchmark,,,,Construct Validity,,,,Yes,Yes,
80.0,MH,YZ,"Looking for Meaning: Discovering
Action-Response-Effect Patterns
in Business Processes","Jelmer J. Koorn, Xixi Lu, Henrik Leopold, Hajo A. Reijers",https://doi.org/10.1007/978-3-030-58666-9_10,2020.0,Engineering,"Effect measurement, Process discovery, Healthcare, Patterns",A key question in the context of process improvement is how responses to an event (action) result in desired or undesired outcomes (effects).,"The goal of this technique is to provide organizations with processes that are: (1) appropriately represented, and (2) effectively filtered to show meaningful relations.","Action-response-effect patterns are not accounted for in existing discovery algorithms. As a result, their application to such event logs leads to a process representation that is either hard to read (because it contains too many connections) or it does not allow the user to obtain actual insights about the process (because it does not show the effect of behavior).","In order to address these challenges, we proposed a novel discovery technique that builds on filtering influential relations using statistical tests.",Information systems engineering,,Formal theory,Artefact,Yes,Yes,"Yes, hypotheses",,,Algorithm,Design (Science/Engineering),Case Study,,,Real-world data,1115,0.0,0,"Yes, via reference",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,0,0.0,0,,"Yes, via reference",,No,,Benchmark,,,,Internal Validity,,,,Yes,Yes,
81.0,MH,YZ,"Extracting Annotations from Textual
Descriptions of Processes","Luis Quishpi, Josep Carmona, Lluís Padró",https://doi.org/10.1007/978-3-030-58666-9_11,2020.0,Engineering,not existing,not existing,"In this paper we present a technique based on Natural Language Processing and a query language for tree-based patterns, that extracts annotations describing key process elements like actions, events, agents/patients, roles and control-flow relations.","This makes the approach very robust to variations that can arise in the discursive description of the main process elements, but also contributes to reduce considerably the number of patterns that need to be defined and maintained to perform the extraction.",Applying our technique on several publicly available texts shows promising results in terms of precision and recall with respect to the state-of-the art approach for a similar task.,Information systems engineering,,Formal theory,Artefact,No,No,No,,,Technique,Design (Science/Engineering),Illustrative Example,,,Undefined,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Undefined,0,0.0,0,,"Yes, in the paper",,No,,Benchmark,,,,None,,,,Yes,Yes,
82.0,DL,,"Analyzing Process Concept Drifts Based
on Sensor Event Streams During Runtime","Florian Stertz, Stefanie Rinderle-Ma, Juergen Mangler",https://doi.org/10.1007/978-3-030-58666-9_12,2020.0,Engineering,"Online process mining, Concept drift, Sensor event stream, Root cause analysis, Time sequence, Dynamic Time Warping","RQ1: How can drifts in sensor event streams associated with process instances be identified?
RQ2: How can the analysis of these drifts help domain experts, to assess root causes and thus propose concept drifts/process evolution?","The objective is therefore to evaluate the applicability of this approach in finding the cause for a concept drift, to evaluate the performance of this approach, i.e., how many reasons can be correctly detected in which time and to give information on how to adapt the current process model to the current situation.","Online concept drift detection can be crucial to react on process changes in time. However, approaches to analyze and identify the reason why a concept drift happened, i.e., its root cause, are missing although knowing the root cause contributes to, e.g., optimizing future occurrences of similar concept drifts. Hence the basic question is how to identify and analyze the root cause for concept drifts at runtime.",This paper elaborates a novel approach to predict the root cause of a concept drift in a business process based on external sensor streams. Two algorithms are introduced to compare the time sequences associated with the sensor event streams in combination with the process event stream.,Information systems engineering,,Formal theory,Artefact,Yes,Yes,No,,,Algorithm,Design (Science/Engineering),Illustrative Example,,,Undefined,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,No,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,"Yes, in the paper",,Technical Experiment,Focus Group,,,External Validity,,,,Yes,No,
83.0,DL,,"TADE: Stochastic Conformance Checking
Using Temporal Activity Density
Estimation","Florian Richter, Janina Sontheim, Ludwig Zellner, Thomas Seidl",https://doi.org/10.1007/978-3-030-58666-9_13,2020.0,Engineering,"Process mining, Stochastic model, Conformance checking",not existing,In this work we propose the novel method TADE to check for process conformance with regards to another perspective. [...] we developed time-sensitive stochastic estimators and prove their superiority over the competitors regarding accuracy and runtime efficiency.,"The fitness of a new case is computed based on the models and thereby it can be assigned to a class. Moreover, the fitness values for a conformance classification and the runtime performance is compared to the most common existing approaches for conformance checking, token-based replay and alignments, since there is no other approach dealing with the same problem setup as we do.","In extensive experiments, we showed not only the quality but also the good performance of our novel and efficient conformance checking approach. Even using a full Cartesian set of activity relations outperformed token-based replay in both quality and runtime.",Information systems engineering,,Formal theory,Artefact,Yes,No,"Yes, assumption",,,Technique,Design (Science/Engineering),,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Technique,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, via reference",,No,,Benchmark,,,,None,,,,Yes,No,
84.0,MH,MW,"Predictive Business Process Monitoring
via Generative Adversarial Nets: The
Case of Next Event Prediction","Farbod Taymouri, Marcello La Rosa, Sarah Erfani, Zahra Dasht Bozorgi, Ilya Verenich",https://doi.org/10.1007/978-3-030-58666-9_14,2020.0,Engineering,not existing,not existing,"This paper proposes a novel adversarial training framework to address this shortcoming, based on an adaptation of Generative Adversarial Networks (GANs) to the realm of sequential temporal data.","Recently, several predictive process monitoring methods based on deep learning such as Long Short-Term Memory or Convolutional Neural Network have been proposed to address the problem of next event prediction. However, due to insufficient training data or sub-optimal network configuration and architecture, these approaches do not generalize well the problem at hand.","This paper put forward a novel adversarial framework for the prediction of next event label and timestamp, by adapting Generative Adversarial Nets to the realm of sequential temporal data. [...] we showed, both formally and empirically, that given the same network’s architecture, our minmax training outperforms a network trained in conventional settings.",Information systems engineering,,Formal theory,Both,Yes,Yes,No,,,Technique,Design (Science/Engineering),,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,"Yes, in the paper",,Benchmark,Technical Experiment,,,None,,,,Yes,Yes,
85.0,MW,MH,"Exploring Interpretable Predictive
Models for Business Processes","Renuka Sindhgatta, Catarina Moreira, Chun Ouyang, Alistair Barros",https://doi.org/10.1007/978-3-030-58666-9_15,2020.0,Engineering,"Interpretable models, Attention-based neural networks, Predictive process models",not existing,"This paper explores an interpretable and accurate attention-based Long Short Term Memory (LSTM) model for predicting business process behaviour. The interpretable model provides insights into the model inputs influencing a prediction, thus facilitating transparency.","Accuracy has been a dominant criterion when choosing deep learning models (such as RNNs) for predictive process analytics. The use of these sophisticated models, however, comes at the cost of the models being used as 'black boxes'; i.e., they are unable to provide insights into why a certain decision or predicition was drawn","This paper presents an attention-based LSTM model that provides interpretations to predict the next event and its attributes: event activity, the role of the resource, and the timestamp associated with the event. The attention mechanisms provide insights into the events in a case and the event attributes that influence prediction of the next event.",Information systems engineering,,Formal theory,Artefact,No,No,No,,,Technique,Design (Science/Engineering),,,,,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,0,0.0,0,,"Yes, in the paper",,No,,Technical Experiment,Benchmark,,,None,,,,Yes,Yes,
86.0,MW,MH,"Triggering Proactive Business Process
Adaptations via Online Reinforcement
Learning","Andreas Metzger, Tristan Kley, Alexander Palm",https://doi.org/10.1007/978-3-030-58666-9_16,2020.0,Engineering,"Machine learning, Business process monitoring, Prediction, Adaptation, Accuracy, Earliness",not existing,"[...] [W]e combine two emerging machine learning paradigms to decide when to trigger proactive business process adaptations. On the one hand, we use ensembles of deep learning models to generate predictions and their reliability estimates. On the other hand, we use online reinforcement learning (RL) to learn at run time when to trigger an adaptation based on the predictions and their reliability estimates.","Proactive process adaptation can prevent and mitigate upcoming problems during process execution by using predictions about how an ongoing case will unfold. There is an important trade-off with respect to these predictions: Earlier predictions leave more time for adaptations than later predictions, but earlier predictions typically exhibit a lower accuracy than later predictions, because not much information about the ongoing case is available.","We combined two emerging machine learning paradigms – ensemble deep supervised learning and policy-based reinforcement learning – to learn when to trigger proactive process adaptations at run time. Experimental results indicate lower process execution costs when compared to the state of the art, particularly in the presence of non-stationarity",Information systems engineering,,Formal theory,Artefact,Yes,No,No,,,Method,Design (Science/Engineering),,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,No,,Technical Experiment,Benchmark,,,External Validity,Internal Validity,,,Yes,Yes,
87.0,MW,MH,"Video-to-Model: Unsupervised Trace
Extraction from Videos for Process
Discovery and Conformance Checking
in Manual Assembly","Sönke Knoch, Shreeraman Ponpathirkoottam, Tim Schwartz",https://doi.org/10.1007/978-3-030-58666-9_17,2020.0,Engineering,"Process mining, Computer vision, Unsupervised learning, Industry 4.0",not existing,A seamless method to generate process mining logs and to discover workflows in manual assembly processes using cameras is suggested. Video data from cameras is used and processed with the help of a hand detection framework to generate data elements representing the hand positions.,Related works about collecting such information from sensor data unobtrusively for the worker are rare. Papers either address the sensor-based recognition of activities or focus on the process discovery part using process mining-compatible data sets. ,"The suggested procedure for work step identification based on trajectory building and clustering showed how process traces can be extracted from videos that show assembly processes from a top-down perspective. [...] Due to its simplicity, the setup removes barriers that may hinder companies deploying such a system.",Information systems engineering,,Formal theory,Artefact,No,Yes,No,,,Method,Design (Science/Engineering),Illustrative Example,,,Synthetic data,,,,"Yes, in the paper",,No,Verification,,,,External Validity,,,,Yes,No,Prototype,None,,,,Both,,,,,"Yes, in the paper",,"Yes, in the paper",,Controlled Experiment,Verification,,,External Validity,,,,Yes,No,
88.0,MW,MH,"Enhancing Event Log Quality: Detecting
and Quantifying Timestamp
Imperfections","Dominik Andreas Fischer, Kanika Goel, Robert Andrews,
Christopher Gerhard Johannes van Dun, Moe Thandar Wynn, Maximilian Röglinger",https://doi.org/10.1007/978-3-030-58666-9_18,2020.0,Engineering,"Process Mining, Event log, Data quality, Timestamps, Data quality assessment",How can we detect and quantify timestamp-related data quality issues in event logs?,Our work presents an automated approach for detecting and quantifying timestamp-related issues (timestamp imperfections) in an event log.,"Inaccurate or incomplete timestamps may cause activities in a business process to be ordered incorrectly, leading to unrepresentative process models and incorrect process performance analysis results. [...] To the best of our knowledge, research on the (automated) quality assessment of event logs remains scarce.",This approach paves the way for a systematic and interactive enhancement of timestamp imperfections during the data preprocessing phase of Process Mining projects.,Information systems engineering,,Formal theory,Theory,Yes,No,No,,,Framework,Design (Science/Engineering),Literature Analysis,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),Case Study,,,Real-world data,,,,,No,,No,,Focus Group,Case Study,,,Confirmability,,,,Yes,Yes,
89.0,MW,MH,"Automatic Repair of Same-Timestamp
Errors in Business Process Event Logs","Raffaele Conforti1, Marcello La Rosa2, Arthur H.M. ter Hofstede3,
and Adriano Augusto",https://doi.org/10.1007/978-3-030-58666-9_19,2020.0,Engineering,not existing,not existing,"In this paper, we propose an automated approach to repairing timestamp errors in event logs. Specifically, we address the case where multiple events belonging to the same process instance (called trace) have the same timestamp.","While many approaches have been proposed to filter out or repair events in order to improve the overall quality of an event log, only two of them address the problem of repairing timestamp errors and they do so under a strict requirement: the presence of a (reference) process model with execution time annotations as input.","We proposed an automated approach for correcting same-timestamp errors in event logs. [...] The experiments show that our approach reduces the amount of incorrect timestamps by at least 50%, both on artificial and real-life logs, while, the case study conducted in the meat & livestock domain provides initial results on the usefulness of our approach in practice.",Information systems engineering,,Formal theory,Both,Yes,Yes,No,,,Technique,Design (Science/Engineering),Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Both,,,,,"Yes, in the paper",,"Yes, in the paper",,Benchmark,Motivating Example,Technical Experiment,,None,,,,Yes,Yes,Artefact 1: Daten undefined aus dem example
90.0,MS,MW,Explorative Process Design Patterns,Michael Rosemann,https://doi.org/10.1007/978-3-030-58666-9_20,2020.0,Management,"Explorative BPM, Process design, Value generation, Revenue resilience",What are the explorative process design patterns that help to create new process value?,This paper proposes to close this gap by offering seven explorative process design patterns that support the identification of options to create new value from existing business processes.,"However, explorative BPM, with its focus on adding new value to business processes, lacks an equally mature, deductive set of design patterns.","This paper contributes to the understanding of explorative BPM by proposing seven design patterns that help as heuristics in identifying new sources of revenue models for existing business processes—process generalization, process expansion, process differentiation, process initiation, process commercialization, process integration, and process attention.",Meta-analysis,,Social science theory,Artefact,No,No,No,,,Report,Literature Analysis,Case Study,,,Real-world data,,,,"Yes, via reference",,No,Motivating Example,,,,External Validity,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,MS,MW,"Quo Vadis, Business Process Maturity Model?
Learning from the Past to Envision the Future","Vanessa Felch, Björn Asdecker",https://doi.org/10.1007/978-3-030-58666-9_21,2020.0,Management,"Business process, Business process management, Maturity model, Systematic literature review, Publication outlets, Transparency, Replicability","(1) Considering the most recent BPMM publications, how has the state of research
regarding BPMMs changed in the last five years?
(2) How well recognized are the publication outlets of BPMM articles?
(3) Which criteria should authors consider when publishing BPMMs?",This paper extends their review by five years (2015–2019) and additionally analyzes the publication outlets as an indicator of model quality.,"To support companies in systematically improving their business processes, academia has developed and published various business process maturity models in recent decades. Tarhan et al. (2016) expressed initial doubts about the quality of many of the models in their literature review.","By extending the literature review (2015–2019), practitioners obtain an overview of which current and ‘leading’ BPMMs are suitable for each area and where limitations exist. Finally, the extended overview enables researchers to build on the identified research gaps.",Meta-analysis,,,Artefact,No,No,"Yes, hypotheses","index by Thomson Reuters (Reuters Index) [60], H Index by Hirsch [24], SCImago Journal Rank (SJR) indicator [51]",value of publication,Report,Literature Analysis,,,,Real-world data,,,,"Yes, in the paper",,,Data Science,,,,Ecological Validity,,,,No,No,Model,Literature Analysis,,,,Real-world data,,,,,"Yes, in the paper",,"Yes, in the paper",,None,,,,Ecological Validity,,,,No,No,
92.0,MS,MW,"A Typological Framework of Process
Improvement Project Stakeholders","Charon Abbott, Wasana Bandara, Paul Mathiesen, Erica French, Mary Tate",https://doi.org/10.1007/978-3-030-58666-9_22,2020.0,Management,"Business Process Management, Process improvement, Stakeholders, Stakeholder-Groups, Stakeholder engagement, Stakeholder identification, Framework",In conclusion the answer to the research question “What are the key stakeholder groups involved in and affected by Process Improvement Projects” involves a framework of six (6) stakeholder types.,"Yet, guidelines to identify the relevant stakeholder groups and their specific activity is lacking. This study
addresses this gap through a typological framework of stakeholder groups in process improvement (PI) projects.","The importance of stakeholder engagement is being increasingly acknowledged. Furthermore, appropriate stakeholder engagement has speciﬁcally been listed as a critical success factor for process improvement (PI) initiatives [e.g. 9, 13–15]. Yet to date, there is very little guidance on stakeholder enagement in BPM projects (...).","The study contributes to the current research in understanding stakeholders involved in and impacted by process improvement initiatives, thus contributing to a better understanding of the ‘people’ aspect of BPM. It contributes to current stakeholder research by providing a clear categorization of stakeholders for PI projects. This contribution will provide a basis for comparing the results of research across different studies, through the use of a common language.",Inductive study,Meta-analysis,Social science theory,Both,No,No,No,,,Report,Literature Analysis,Case Study,Interviews,,Real-world data,9,,9,No,,"Yes, via reference",Data Science,Argumentation,,,External Validity,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
93.0,MS,MH,"BP-IT Alignment in SMEs: A Game-Based
Learning Approach to Increase Stakeholders’
Maturity","Mahi Samir Ismail, Ralf Klischewski",https://doi.org/10.1007/978-3-030-58666-9_23,2020.0,Management,"Business process management, Strategic alignment, BP-IT alignment, SMEs, Design science, Gamification, Game-based learning",How can a game-based learning approach support SMEs in their alignment of IT with their business processes?,"In search for a solution which guides the IT-business alignment practice and which is easily scalable and affordable for SMEs, we focus on a game-based learning approach for providing the know-how of BP-IT alignment specifically to stakeholders in SMEs and their environment, aiming to increase the maturity of their alignment activities.","In particular, small and medium enterprises (SMEs) tend to struggle with BPM from concept to implementation and often lack the capability of appropriately integrating processes, people and technology.","Given also the affordance and scalability of a gamified solution in principle, the validated blueprints promise to be useful for the development and application of practical games and incorporate transferable know-how for BPM-related game design regarding BP-IT alignment in SMEs.",Information systems engineering,,Social science theory,Artefact,No,No,No,,,Design concept,Interviews,Literature Analysis,Design (Science/Engineering),Survey,Real-world data,21,,21,"Yes, in the paper",,"Yes, in the paper",Interview,Questionnaire,,,External Validity,Internal Validity,,,No,No,Prototype,Design (Science/Engineering),Interviews,Survey,Literature Analysis,Real-world data,21,,21,,"Yes, in the paper",,"Yes, in the paper",,Interview,Questionnaire,,,External Validity,Internal Validity,,,No,No,
94.0,MS,MH,"Understanding Quality in Declarative
Process Modeling Through the Mental
Models of Experts","Amine Abbad Andaloussi, Christopher J. Davis, Andrea Burattin,  Hugo A. López, Tijs Slaats, Barbara Weber ",https://doi.org/10.1007/978-3-030-58666-9_24,2020.0,Management,"Process model understandability, Declarative process models, Model quality, Personal construct psychology, Repertory Grid",Which quality dimensions are used by experts when comparing DCR Graphs?,"Conversely, our work emphasizes the quality of declarative process models and aims at providing a multi-dimensional quality framework to further promote their use in practice.","While the quality of imperative models has been extensively investigated
in the literature, little is known about the dimensions affecting the quality
of declarative models.",The outcome shows the potential of PCT as a basis to discover quality dimensions and advances our understanding of quality in declarative process models.,Scientific study,,Social science theory,Both,No,No,No,,,Framework,Case Study,Interviews,,,Synthetic data,13,7.0,2,"Yes, in the paper",,"Yes, in the paper",Grounded Theory,Argumentation,,,Confirmability,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,MS,MW,"Adding Intelligent Robots to Business Processes:
A Dilemma Analysis of Employees’ Attitudes",Amy Van Looy,https://doi.org/10.1007/978-3-030-58666-9_25,2020.0,Management,"Digital process innovation, Intelligent robots, Acceptance, Dilemma analysis","Which factors explain why employees would (partly) leave their work practices (i.e., business processes) to intelligent robots?","Our purpose is to gain insight into the employees’ attitudes (e.g., points of view, concerns, needs) for using intelligent robots in daily work, and we verify for which kind of business processes this digitalization will be more or less accepted. An interview-based research will be presented using on a dilemma analysis about hypothesized situations regarding future job contents.","With the recent AI advancements, robots have become able to conduct cognitive tasks [5], and so affecting the business processes of all employee types. Questions, however, remain which jobs and which business processes (or process tasks) are desired to be replaced by robots while respecting employees’ potential.","The majority are willing to transfer repetitive tasks as long as humans can control outputs for accountability. However, employees prefer keeping tasks with creativity and human interaction [...] The findings affect innovation strategies for implementing intelligent robots with reduced social implications.",Inductive study,,Social science theory,Both,No,No,No,,,Report,Other,Interviews,,,Real-world data,48,,48,"Yes, in the paper",,"Yes, in the paper",,,,,External Validity,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,"research method: other, da Dilemma Analysis"
96.0,MS,MH,How to Keep RPA Maintainable?,"Philip Noppen, Iris Beerepoot, Inge van de Weerd, Mathieu Jonker, Hajo A. Reijers",https://doi.org/10.1007/978-3-030-58666-9_26,2020.0,Management,"Robotic Process Automation, Governance, RPA maintenance, Federated organizational model, RPA Center of Excellence",How can organizations minimize maintenance problems related to RPA implementations?,"To prevent or diminish high maintenance efforts, we propose in this paper 11 guidelines to establish low-maintenance RPA implementations.","The burden of maintenance, in particular, can become high once an organization scales up its RPA efforts.","Based on a literature study and four case studies, 11 guidelines were formulated that attempt to mitigate the potential burden of maintenance and mismanagement of the technology.",Meta-analysis,Inductive study,Social science theory,Artefact,No,No,No,,,Report,Literature Analysis,Case Study,,,Real-world data,9,,9,No,,No,Questionnaire,,,,External Validity,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
97.0,MS,MH,"A Consolidated Framework
for Implementing Robotic Process
Automation Projects","Lukas-Valentin Herm, Christian Janiesch, Alexander Helm,
Florian Imgrund, Kevin Fuchs, Adrian Hofmann, Axel Winkelmann",https://doi.org/10.1007/978-3-030-58666-9_27,2020.0,Management,"Robotic process automation, Implementation
framework, Interview study","RQ1: Which stages in RPA projects phases are typically mentioned in reported
case studies? 
RQ2: How should a consolidated framework for the implementation of RPA
projects look like?","To tackle this issue, we use a design science research approach to develop a framework for the initiation of RPA projects.","Due to the novelty of this approach and the varying approaches when implementing the technology, up to 50% of RPA projects fail. ","The result is a consolidated frame- work with variable stages, that offers guidelines with enough flexibility to be applicable in complex and heterogeneous corporate environments. ",Meta-analysis,Information systems engineering,Social science theory,Artefact,No,No,No,,,Report,Literature Analysis,Interviews,,,Real-world data,8,,8,"Yes, in the paper",,"Yes, in the paper",Interview,,,,External Validity,Confirmability,,,No,No,Framework,Design (Science/Engineering),,,,Real-world data,8,,8,,"Yes, in the paper",,"Yes, in the paper",,Grounded Theory,,,,External Validity,Confirmability,,,No,No,
